自由类技术进出口合同登记许可证审批,359,1,市商务局,每周,2018-02-01, 资质认定  数据公开 ,None
地税税务登记信息,209,246,市地方税务局,每日,2018-02-01, 数据公开 ,None
防雷装置定期检测,203,248,市气象局,每月,2018-02-01, 数据公开 ,None
防雷装置设计审核核准（新）,1426,1508,市气象局,每月,2018-02-01, 资质认定  数据公开 ,None
涉企信息_行政许可变更信息,136,9,市工商行政管理局,不提供,2018-02-01, 数据公开 ,None
证件变更信息,178,108,市食品药品监督管理局,每周,2018-02-01, 数据公开 ,供涉企公示和智网
证件库,235,25,市食品药品监督管理局,每季度,2018-02-01, 数据公开 ,食药监证件库
工程施工许可信息表,2508,1324,市住房和城乡建设局,每月,2018-02-01, 资质认定  数据公开 ,None
工程竣工验收备案信息,4225,949,市住房和城乡建设局,每月,2018-02-01, 资质认定  数据公开 ,None
建筑行业企业基本信息,3269,1932,市住房和城乡建设局,每月,2018-02-01, 资质认定  数据公开 ,建筑行业企业基本信息
商品房预售许可信息表,1908,856,市住房和城乡建设局,每月,2018-02-01, 资质认定  数据公开 ,None
房地产开发企业资质信息,3063,579,市住房和城乡建设局,每月,2018-02-01, 企业  数据公开 ,加强房地产开发企业资质管理，规范房地产开发企业经营行为，对房地产开发企业按照条件分为一、二、三、四，四个资质等级（新设立的房地产开发企业申领暂定资质证书）；按照企业提交的相关资料进行相应等级资质的核准、延续、变更。
商品房现售备案信息,1844,584,市住房和城乡建设局,每月,2018-02-01, 资质认定  数据公开 ,商品房现售备案信息
行政处罚信息,2218,507,市住房和城乡建设局,每月,2018-02-01, 数据公开 ,行政处罚信息
税务登记信息,197,989,市国家税务局,每日,2018-02-01, 数据公开 ,None
建设项目环境影响评价文件审批,2871,629,市环境保护局,每周,2018-02-01, 数据公开  资质认定 ,None
娱乐服务场所业务信息,139,899,市工商行政管理局,每日,2018-02-01, 数据公开 ,东莞娱乐服务场所业务信息（新设立、变更过程中的信息）
工商登记信息,8242,6135,市工商行政管理局,实时,2018-02-01, 企业  数据公开 ,None
变更登记信息,168,78,市工商行政管理局,实时,2018-02-01, 数据公开 ,None
特种设备作业人员考核,1425,509,市质量技术监督局,每周,2018-02-01, 数据公开 ,None
非宗教内容的一次性内部资料性出版物准印证信息,165,236,市文化广电新闻出版局,每月,2018-02-01, 数据公开 ,None
