肇庆市保险机构名录,机构团体,不定时更新,保险机构,肇庆市,2017-12-31,2017-12-31,12,150,完全开放
肇庆市上市公司名录,经济建设,不定时更新,上市公司,肇庆市,2017-12-31,2017-12-31,17,159,完全开放
肇庆市银行机构及网点名录,机构团体,不定时更新,银行机构，网点,肇庆市,2017-12-31,2017-12-31,13,134,完全开放
肇庆市获省名牌产品名录,经济建设,不定时更新,名牌产品,肇庆市,2017-12-31,2017-12-31,15,131,完全开放
肇庆市法律援助处名录,机构团体,不定时更新,法律援助处,肇庆市,2017-12-31,2017-12-31,12,124,完全开放
肇庆市公证处名录,机构团体,不定时更新,公证处,肇庆市,2017-12-31,2017-12-31,12,121,完全开放
肇庆市机动车保有量,道路交通,不定时更新,机动车，保有量,肇庆市,2017-12-31,2017-12-31,15,153,完全开放
肇庆市星级饭店名录,文化休闲,不定时更新,星级饭店,肇庆市,2017-12-31,2017-12-31,18,140,完全开放
肇庆市第一类医疗器械注册（备案）信息,卫生健康,不定时更新,第一类医疗器械，注册（备案）信息,肇庆市,2017-12-31,2017-12-31,12,136,完全开放
肇庆市第三类医疗器械零售企业及经营备案企业名录,卫生健康,不定时更新,第三类医疗器械，零售企业，经营备案企业,肇庆市,2017-12-31,2017-12-31,19,134,完全开放
肇庆市药品批发企业（含连锁总部）名录,卫生健康,不定时更新,药品，批发企业,肇庆市,2017-12-31,2017-12-31,27,127,完全开放
肇庆市第一类医疗器械生产企业名录,卫生健康,不定时更新,第一类医疗器械，生产企业,肇庆市,2017-12-31,2017-12-31,13,120,完全开放
肇庆市食品生产许可获证企业名录,卫生健康,不定时更新,食品生产，生产许可,肇庆市,2017-12-31,2017-12-31,13,148,完全开放
机动车驾驶人临近体检名单,道路交通,年度,机动车驾驶人、体检,中山全市,2017-12-29,2017-12-29,29,80,完全开放
中山市社会团体登记资料总览表,民生服务,不定时更新,民办非企业单位、登记资料,中山全市,2017-12-29,2017-12-29,14,99,完全开放
机动车驾驶证逾期未换证注销作废清单,道路交通,年度,机动车、驾驶证、逾期未换证、注销作废,中山全市,2017-12-29,2017-12-29,96,86,完全开放
机动车驾驶人逾期未体检,道路交通,年度,机动车、驾驶人、逾期未体检,中山全市,2017-12-29,2017-12-29,11,77,完全开放
中山市初中教育学校一览表,教育科技,不定时更新,初中学校、名单,中山全市,2017-12-29,2017-12-29,19,107,完全开放
中山市小学学校一览表,教育科技,不定时更新,小学学校、名单,中山全市,2017-12-29,2017-12-29,16,88,完全开放
中山市幼儿园一览表,教育科技,不定时更新,幼儿园、名单,中山全市,2017-12-29,2017-12-29,19,113,完全开放
中山市餐饮服务单位汇总,公共安全,不定时更新,餐饮服务单位、汇总,中山全市,2017-12-29,2017-12-29,36,78,完全开放
中山市食品生产许可证(QS证)目录,公共安全,不定时更新,食品生产许可证、目录,中山全市,2017-12-29,2017-12-29,13,67,完全开放
机动车临界未检验通告,道路交通,年度,机动车、未检验,中山全市,2017-12-29,2017-12-29,214,137,完全开放
五大河流（流域）市、县级河长名单,机构团体,不定时更新,河长、河长名单,广东省,2017-12-29,2017-12-29,15,119,完全开放
取水许可证信息,资源环境,不定时更新,取水许可证,广东省,2017-12-29,2017-12-29,26,191,完全开放
市级重特大疾病医疗救助一站式结算数据列表,卫生健康,年度,重特大疾病、医疗救助、结算,中山全市,2017-12-29,2017-12-29,8,62,完全开放
广东省雨情信息,民生服务,不定时更新,雨情、雨量,广东省,2017-12-29,2017-12-29,13,117,完全开放
市级临时救助列表（非本市户籍）,卫生健康,年度,市级、临时救助、非本市户籍,中山全市,2017-12-29,2017-12-29,9,50,完全开放
中山市民办非企业单位登记资料总览,民生服务,不定时更新,民办非企业单位、登记资料,中山全市,2017-12-29,2017-12-29,13,49,完全开放
（水库站）水情信息,民生服务,不定时更新,（水库站）水情、水位、汛限水位,广东省,2017-12-29,2017-12-29,11,129,完全开放
机动车驾驶证临近换证名单,道路交通,年度,机动车、驾驶证、换证,中山全市,2017-12-29,2017-12-29,131,61,完全开放
（河道站）水情信息,民生服务,不定时更新,（河道站）水情、水位、水势,广东省,2017-12-29,2017-12-29,14,119,完全开放
AB驾驶证免予审验名单,道路交通,年度,驾驶证、审验,中山全市,2017-12-29,2017-12-29,161,67,完全开放
《医疗机构执业许可证书》的医疗机构基本信息,卫生健康,年度,医疗机构、执业许可证书,中山全市,2017-12-29,2017-12-29,21,96,完全开放
中山市锅炉污染减排专项奖励资金公示名单,公共安全,年度,锅炉污染、减排、专项奖励资金,中山全市,2017-12-29,2017-12-29,9,63,完全开放
